,instruction,intent
13173,updating pro account,edit_account
13025,correct info on premium account,edit_account
13382,correcting infornation on gold account,edit_account
12792,"I want to modify the info on my user, I need assistance",edit_account
13246,"I want to update my goddamn personal info, how to do it?",edit_account
12848,updating data on {{Account Type}} account,edit_account
13189,need to change the info included on my user,edit_account
12911,edit data on {{Account Type}} account,edit_account
13511,i need assistance to download the bills from {{Person Name}},get_invoice
13728,need to download bill #12588 how do i do it,get_invoice
14122,is it possible to get my bill #00108?,get_invoice
13871,I don't know how to get the bill #85632,get_invoice
13721,I don't know how to download my bill #00108,get_invoice
14093,need assistance to get my bills frlm {{Person Name}},get_invoice
13816,i do not know what i need to do to download my bill #12588,get_invoice
13773,I don't know how I can get the invoice #85632,get_invoice
14332,I don't know how I can download invoice #37777,get_invoice
14335,i wanr help downloading the invoice from {{Person Name}},get_invoice
13557,help me to get the invoice fro {{Person Name}},get_invoice
14214,i dont know what i need to do to get the bill #85632,get_invoice
14352,i do not know how to download my bill from {{Person Name}},get_invoice
14098,getting invoices from last purchase,get_invoice
13499,send me bill from {{Person Name}},get_invoice
13943,I do not know what I need to d to download the bill #37777,get_invoice
14057,assistance to get invoice  #12588,get_invoice
13803,i dont know what i have to do to download my bill #85632,get_invoice
13451,I don't know what I need to do to get the bill #12588,get_invoice
14229,I want assistance downloading boll #37777,get_invoice
14388,I don't know what I need to do to request rebates,get_refund
14693,"I paid {{Currency Symbol}}{{Refund Amount}} for an item, how could I get a bloody refund?",get_refund
14599,reimburse {{Refund Amount}} dollar,get_refund
14377,reimburse {{Currency Symbol}}{{Refund Amount}},get_refund
14653,where to receive restitutions of money,get_refund
14775,want help to get my money back,get_refund
14569,how can I obtain my money back?,get_refund
15087,i do not know how i can receive rebates of my money,get_refund
14658,how to request reimbursements of my money,get_refund
15105,when am I getting a rebate?,get_refund
14609,i dont know how to get a reimbursement of my money,get_refund
15211,can you help me receive goddamn compensations of money?,get_refund
14466,i have to demand a compensation,get_refund
14777,"I paid {{Currency Symbol}}{{Refund Amount}} for a product, where can I get a fucking rebate?",get_refund
14579,refunding {{Refund Amount}} dollars,get_refund
15008,i do not knowhow to request a restitution of money,get_refund
15212,i paid $1499for this article help obtaining a refund,get_refund
14429,I do not know how to demand a reimbursement,get_refund
14716,i dont know how to ask for compensations of money,get_refund
14662,"I paid {{Currency Symbol}}{{Refund Amount}} for an article, I want my compensation",get_refund
15790,I don't know what to do to sign up to your newsletter,newsletter_subscription
15278,how do I receive your newsletter?,newsletter_subscription
16011,would it be possible to sign up to the newsletter?,newsletter_subscription
15401,how to unsubscribe from ur company newsletter,newsletter_subscription
15896,I can't receive the damn corporate newsletter,newsletter_subscription
15581,help me see the status of my subscription to your newsletter,newsletter_subscription
15972,I want assistance to receive your corporate newsletter,newsletter_subscription
15959,I want to sign up to your corporate newsletter,newsletter_subscription
15590,could i unsubscribe from the newsletter,newsletter_subscription
16051,how can I cancel the corporate newsletter subscription?,newsletter_subscription
15996,how can I see the status of my newsletter subscription?,newsletter_subscription
16052,want help cancelling my company newsletter subscriptikon,newsletter_subscription
16244,help to receive your newsletter,newsletter_subscription
16130,i need assistane unsubscribing to ur corporate newsletter,newsletter_subscription
15465,I need assistance unsubscribing to the company newsletter,newsletter_subscription
15402,ihave got to receive ur damn company newsletter i need help,newsletter_subscription
16030,were to sign up to the newsletter?,newsletter_subscription
15907,tell me about cancel the subscription to the newsletter,newsletter_subscription
15836,can you tell me more about unsubscribing to your newsletter?,newsletter_subscription
15404,what do I have to do to receive the newsletter?,newsletter_subscription
16328,how can I notify of an error with online payment?,payment_issue
16352,need assistance notifying of a problen with payment,payment_issue
17088,I do not know how to notify of a problem with payment,payment_issue
16621,where do i inform of errors with payment,payment_issue
16345,I don't know what to do to inform of errors with payment,payment_issue
17227,want help notifying of a trouble with payment,payment_issue
16749,i need assistance to notify of troubles with payment,payment_issue
16359,I want assistance to inform of issues with payment,payment_issue
16978,help informing of a fucking payment problem,payment_issue
16299,wanna report issues with online pahment,payment_issue
16873,need to report troubles with online payment,payment_issue
16361,i cant pay  inform of a problem with payment,payment_issue
16810,report payment issue,payment_issue
16881,I am trying to inform of a trouble with online payment,payment_issue
16349,I have to inform of damn problems with payment,payment_issue
16629,want assistance to solve a payment problem,payment_issue
17172,reporting payment issue,payment_issue
16981,can you help me solve issues with payment?,payment_issue
16348,i want assistance to notify of troubles with payment,payment_issue
16795,can ya help me to inform of an problem with payment,payment_issue
18000,where can I order some items?,place_order
17332,I do not know how to acquire some of your article,place_order
18169,"I have to earn an article, how can I do it?",place_order
17763,assistance ordering some of your article,place_order
17605,how do I acquire some of your product?,place_order
17305,I need help to purchase some bloody products,place_order
17594,I want help to place an order,place_order
17428,can you help me acquiring a few of your product?,place_order
17425,I don't know how toearn something,place_order
17720,i need assistance acquiring some rpoducts,place_order
17585,i do not know what to do to earn some items,place_order
17409,i domt know how to buy several of ur item,place_order
17417,i dont know what i need to do to shop a few of ur product,place_order
17349,I want assistance earning some of your product,place_order
17280,i do not know what i need to do to buy several items,place_order
17597,I want to shop a few of your product,place_order
18228,wanna earn an article i need asisstance,place_order
17559,where can i shop some articles,place_order
17283,I want assistance to shop several articles,place_order
17734,I do not know what I need to do to purchase some products,place_order
18973,I am trying to recover my user profile PIN,recover_password
18688,I cannot recover my account PIN code,recover_password
19235,help me to retrieve my profile access key,recover_password
18355,what do i have to do to reset the pwd of my user,recover_password
18594,I need assistance retrieving the PIN of my account,recover_password
19116,could you help me reset the PIN of my user profile?,recover_password
19126,how can I reset my profile access key?,recover_password
18684,how too recover the key of my user account,recover_password
19216,how to recover the key of my user account?,recover_password
18621,"someone stole my PIN code, assistance restoring it",recover_password
18457,help me to restore the access key of my user profile,recover_password
18470,"someone stole my PIN, I want assistance to restore it",recover_password
18951,I'm trying to recover my account key,recover_password
19201,assistance to retrieve the key of my user profile,recover_password
18735,i have got to restore my user pwd,recover_password
18996,I have got to recover the PIN of my user,recover_password
18474,is it possible to reset my user account key?,recover_password
18627,what do I have to do to restore the key of my user profile?,recover_password
19032,I need help to reset the PIN of my user profile,recover_password
18694,assistance resetting the key of my user account,recover_password
19548,I need to inform of an error with registrations,registration_problems
20230,I try to notify of an error with registrations,registration_problems
19395,reporting registration issues,registration_problems
19266,I need support with my sign-up,registration_problems
19731,i want help to notify of a problem with sign-up,registration_problems
19321,report registration issue,registration_problems
19834,"I cannot sign up, can I inform of a damn signup error?",registration_problems
19547,can i inform of an issue with a registration,registration_problems
20077,I am having problems with my registration,registration_problems
19564,hw can I notify of errors with a signup?,registration_problems
19914,I do not know what to do to inform of issues with a sign-up,registration_problems
19799,I want assistance notifying of a sign-up error,registration_problems
19870,"I cannot open a profile, I have to report a signup error",registration_problems
19957,need help informing of rergistration errors,registration_problems
19463,where can I report a problem with a signup?,registration_problems
19474,how do i inform of a problem with a signup,registration_problems
20088,"I have to inform of errosr with a sign-up, how can I do it?",registration_problems
19519,i want help notifying of signup errors,registration_problems
19871,need help regadring my sign-up,registration_problems
19275,assistance reporting problems with signup,registration_problems
21192,"I need to leave an opinion, can I get some help?",review
21170,uhave a way to leave an opinion for ur products,review
20847,where do I leavefeedback about your products?,review
20371,how could I write a review?,review
20742,wanna leave goddamn feedback about ur services,review
21062,how to submit my feedback about your services?,review
20984,want assistance to leave an opinion about a service,review
20993,i want assistance to send feedback for ur company,review
20433,is there an e-mail to send my feedbakc for ur products,review
20533,uhave an address to submit an opinion about a product,review
21092,do ya have an e-mail to leave a commnt,review
20923,i need help sending soke feedback about a product,review
20345,"I have got to leave some feedback for your services, help me",review
20382,I am trying to submit feedback about a product,review
20529,need assiwtance leaving some feedback for ur company,review
21045,help me leaving a comment for ur company,review
21261,assistance to send some feedback about your products,review
20808,can ya help me send feedback for ur products,review
21224,can uhelp me to submit some feedback about ur products,review
20520,need assistance to leave my feedback about a service,review
21273,I try to set  up my goddamn shipping address,set_up_shipping_address
22000,i do not know how i can set up the delivery address,set_up_shipping_address
21790,I try to submit a different delivery address,set_up_shipping_address
21477,is it possible to submit my delivery adress,set_up_shipping_address
21877,"I need to submit a shipping address, can you help me?",set_up_shipping_address
22057,problems entering the new delivery address,set_up_shipping_address
22046,assistance to submit the secondary shipping address,set_up_shipping_address
21420,there are problems setting up the new delivery address,set_up_shipping_address
21983,I do not know how I can enter another shipping address,set_up_shipping_address
21363,help me submitting my new delivery addres,set_up_shipping_address
21765,I do not know what I need to do to set a shipping address up,set_up_shipping_address
21941,i  cannot enter a shipping address,set_up_shipping_address
21501,I have problems setting up the new delivery address,set_up_shipping_address
21683,I have problems entering a different shipping address,set_up_shipping_address
21585,I have problems submitting my new delivery address,set_up_shipping_address
22237,I have a problem setting up the new delivery address,set_up_shipping_address
22184,how to submit another shipping address,set_up_shipping_address
21820,errors setting a delivery address up,set_up_shipping_address
21535,help me to set up my secondary shipping address,set_up_shipping_address
21464,how to set the delivery address up?,set_up_shipping_address
23239,help me see purchase {{Order Number}} status,track_order
23851,need to trafk order {{Order Number}} help me,track_order
23894,i want assistance to see the ETA of the order {{Order Number}},track_order
23723,help me see the ETA of purchase {{Order Number}},track_order
23809,i need assistance checking the ETA of the purchase {{Order Number}},track_order
23335,checking purchase {{Order Number}} current status,track_order
23788,need help to check the eta  of purchase {{Order Number}},track_order
23261,order {{Order Number}} current status,track_order
23460,want asistance checking the eta of the order {{Order Number}},track_order
23190,I want help to check order {{Order Number}} current status,track_order
23882,need assistance checking the ETA of the purchase {{Order Number}},track_order
23156,can uhelp me to check the ETA of purchase {{Order Number}},track_order
23241,where can i check the bloody eta of order {{Order Number}},track_order
23180,checking order status,track_order
23286,I want assistance locating purchase {{Order Number}},track_order
23789,can you help me seeing the ETA of the order {{Order Number}}?,track_order
23584,I have to see the status of purchase {{Order Number}},track_order
23914,can ya help me to check the ETA of the order {{Order Number}},track_order
23305,I need help seeing the ETA of the order {{Order Number}},track_order
23145,wanna track purchase {{Order Number}},track_order
